שם רשות מקומית,אשכול
שחר,4
תירוש,5
"ניר ח""ן",4
חצבה,2
נועם,4
בית ניר,4
שדה משה,5
באר אורה,1
אמציה,4
לכיש,4
ראש פינה,3
שדות מיכה,5
מזכרת בתיה,6
יסוד המעלה,2
אופקים,3
עוצם,5
בת שלמה,5
גדות,2
שדה דוד,4
איתן,4
גפן,5
אליכין,6
מטולה,2
זוהר,4
יבנאל,3
כפר תבור,4
מנחמיה,3
אילנייה,4
לוזית,4
עתלית,4
נוגה,5
כנרת (קבוצה),3
מצפה,3
נחושה,4
דגניה א',3
כנרת (מושבה),3
"יד רמב""ם",7
מגדל,3
מרחביה (קיבוץ),4
אור הנר,4
ניר עוז,3
אשדוד,7
אשבול,3
גן שמואל,5
עין הוד,4
כפר גלעדי,2
איילת השחר,2
קריית ענבים,6
דגניה ב',3
נהלל,4
עין חרוד (מאוחד),3
תל יוסף,3
כפר יחזקאל,3
גבע,3
כרם בן שמן,7
עין חרוד (איחוד),3
חפצי-בה,3
גיניגר,4
בלפוריה,5
בית אלפא,3
יגור,5
מרחביה (מושב),4
"כפר מל""ל",8
מצפה רמון,2
מאיר שפיה,5
תל עדשים,4
מזרע,4
כפר גדעון,5
כפר סילבר,5
כפר חסידים א',5
אדירים,4
חופית,5
רמת ישי,5
שריד,4
רמת רחל,7
גת רימון,9
משמר העמק,4
כפר ברוך,4
גבת,4
יפעת,4
רמת דוד,4
עין שמר,5
כפר יהושע,4
ברק,4
שדה יעקב,5
בית זרע,3
גן שלמה,7
גדיש,4
דבורה,4
גבעת ברנר,7
תל מונד,6
באר טוביה,5
עיינות,7
עין ורד,6
נען,7
בית חנן,8
חולדה,6
חירות,6
תימורים,5
מלאה,4
ניר יפה,4
גן יבנה,6
עין החורש,5
כפר יונה,6
כפר יעבץ,5
פרדסייה,6
גבעת חיים (מאוחד),5
נטעים,8
אביחיל,6
אפיקים,3
"כפר ביל""ו",7
רמת יוחנן,5
אבן יהודה,7
ירקונה,8
רמת הכובש,6
נעורים,5
כפר הס,6
אשדות יעקב (מאוחד),3
כפר פינס,5
כפר ויתקין,6
הדר עם,6
כפר החורש,4
כפר חיים,6
משמר השרון,6
קדימה-צורן,6
גיבתון,7
מעברות,6
צופית,7
אשדות יעקב (איחוד),3
בית ינאי,5
בית עובד,7
אלישיב,6
חגלה,5
רמות השבים,8
"גבעת ח""ן",8
מוצא עילית,6
בית צבי,4
משמרות,5
"כפר הרא""ה",6
גני עם,8
חיבת ציון,6
כפר ביאליק,5
עין עירון,5
שושנת העמקים,6
גן השומרון,5
גני תקווה,9
מעש,9
שפיים,7
כפר ידידיה,6
ביצרון,6
חבצלת השרון,6
שער העמקים,5
גן חיים,7
יקנעם עילית,5
יקנעם (מושבה),5
בית השיטה,3
נתיבות,4
רשפון,7
בית שערים,4
כפר סירקין,8
הזורע,4
ביתן אהרן,6
חולתה,2
כפר המכבי,5
כפר חיטים,3
ניר דוד (תל עמל),3
נופך,7
שדה נחום,3
גינוסר,3
מסדה,3
שער הגולן,3
בית יוסף,3
כפר שמריהו,7
טירת צבי,3
מולדת,3
עין השופט,4
מעוז חיים,3
עין גב,3
כפר מנחם,5
צור משה,6
אושה,5
חניתה,3
פקיעין חדשה,3
שבי ציון,4
שדה ורבורג,7
אלונים,5
מעלה החמישה,5
תל יצחק,6
בית יהושע,6
עין המפרץ,4
מעיין צבי,5
שרונה,3
שדה יואב,5
אילון,3
כפר רופין,3
נווה איתן,3
כפר מסריק,4
מסילות,3
דלייה,4
בית עוזיאל,6
דפנה,2
דן,2
שדה אליהו,3
גשר,3
שדמות דבורה,3
הזורעים,3
מחניים,3
נהורה,4
כפר גליקסון,5
גן שורק,7
נווה ים,4
אפק,5
נגבה,5
כפר נטר,7
בית אורן,4
עמיעוז,3
עמיר,2
כפר ורבורג,5
בית הלל,2
שאר ישוב,2
מצובה,3
בית יצחק-שער חפר,6
שדות ים,5
עזוז,2
שדה נחמיה,2
אלומות,3
ניר צבי,8
קבוצת יבנה,6
רמת השופט,4
דורות,4
איבים,4
רמת צבי,3
גת (קיבוץ),5
גברעם,4
חמדיה,3
מענית,5
כפר סאלד,2
גליל ים,8
מנרה,2
ניר עם,4
ניצן,5
גבולות,3
בית זיד,5
רביבים,2
חורשים,7
הגושרים,2
כפר בלום,2
יד מרדכי,4
ניצנים,5
"גבעת ניל""י",5
רוחמה,3
חפץ חיים,6
כפר אוריה,5
בית קשת,3
שמיר,2
עין העמק,5
בירייה,3
גלעד (אבן יצחק),4
גזר,6
כדורי,3
רמות נפתלי,2
בית הלוי,6
חוקוק,3
מגל,5
עברון,4
המעפיל,5
משגב עם,2
גאולים,6
להבות הבשן,2
מכמורת,5
"עין הנצי""ב",3
עמיעד,3
בני דרור,7
כפר מונש,6
כפר קיש,3
בצרה,7
רגבה,4
קדמה,5
גלאון,5
שובל,4
משמר הנגב,4
נבטים,3
חצרים,3
שרשרת,4
בארי,3
אבן שמואל,4
ניר יצחק,3
אורים,3
נווה אילן,5
חצור-אשדוד,5
דברת,4
נאות מרדכי,2
יחיעם,3
קריית שלמה,6
צאלים,3
קלחים,3
שוקדה,3
מעיין ברוך,2
יקום,6
בני ציון,7
סעד,4
משאבי שדה,3
חרב לאת,6
העוגן,6
גבים,4
משמרת,6
עין כרמל,4
כפר גלים,5
ברור חיל,4
אלוני אבא,4
בית לחם הגלילית,4
דלתון,3
שמרת,4
נחשולים,5
החותרים,5
נצר סרני,8
עין דור,3
רשפים,3
שלוחות,3
יסודות,5
גדעונה,3
כפר הנשיא,3
רגבים,5
רמות מנשה,4
אודים,6
נורדייה,6
בני עטרות,8
נחלים,8
בארות יצחק,8
יזרעאל,4
יפתח,2
סער,3
שורש,5
גזית,3
רמת רזיאל,5
טל שחר,6
געתון,3
הראל,5
צובה,5
בית דגן,8
קריית עקרון,7
אבו גוש,6
אבו סנאן,4
דחי,4
אכסאל,4
בית ג'ן,3
מגאר,3
בועיינה-נוג'ידאת,3
ג'ולס,4
ג'ש (גוש חלב),3
דבורייה,4
דייר חנא,3
דייר ראפאת,5
דאלית אל-כרמל,4
חורפיש,3
טייבה (בעמק),3
טורעאן,4
יפיע,5
ירכא,4
כאבול,4
כאוכב אבו אל-היג'א,4
כפר יאסיף,4
כפר כמא,3
כפר כנא,4
כפר מנדא,4
עילוט,5
כפר מצר,3
עין ראפה,5
מג'ד אל-כרום,4
מזרעה,4
מעיליא,3
משהד,5
עין נקובא,6
נחף,3
ניין,4
נאעורה,3
סאג'ור,3
סולם,4
שזור,3
עוזייר,4
אעבלין,5
עיילבון,3
עראבה,4
עין מאהל,4
פסוטה,3
פקיעין (בוקייעה),3
פוריידיס,5
שעב,3
רומאנה,4
ריחאנייה,2
ג'סר א-זרקא,5
ריינה,5
ראמה,3
עין אל-אסד,3
טמרה (יזרעאל),3
גנות הדר,7
ניר בנים,5
שדמה,6
בוסתן הגליל,4
בית אלעזרי,6
משמר דוד,6
רבדים,5
אזור,9
גבעת שמש,5
צרעה,5
מעונה,3
בית גמליאל,6
בית העמק,4
מבקיעים,5
גשר הזיו,3
יסעור,4
כברי,3
יד בנימין,6
סאסא,3
כפר ראש הנקרה,3
"כרם מהר""ל",4
כפר הנגיד,7
זיקים,4
לביא,3
מגידו,4
סביון*,8
בני ראם,5
בצת,3
נווה אור,3
עשרת,6
בני דרום,6
ערוגות,5
צפרייה,8
לוחמי הגיטאות,4
מלכייה,2
פלמחים,6
בית קמה,4
פרוד,3
נירים,3
אלקוש,3
בית עריף,7
כפר שמאי,3
מזור,7
מירון,3
כפר חושן,3
סתרייה,7
צרופה,5
ציפורי,4
שומרה,3
קדרון,6
רינתיה,7
ברקאי,5
חדיד,7
בית גוברין,4
משואות יצחק,5
עין צורים,5
יראון,2
ג'לג'וליה,7
כפר ברא,7
כפר קאסם,7
מוקייבלה,3
צנדלה,4
ערערה,5
קלנסווה,6
מצר,5
מייסר,5
אבטין,5
כפר קרע,5
שייח' דנון,3
שער אפרים,6
חוסן,3
טירת יהודה,7
כרם בן זמרה,3
תקומה,3
עומר,4
ברעם,2
מפלסים,4
משמר איילון,6
בית נקופה,6
כפר טרומן,7
לימן,3
הבונים,4
עין השלושה,3
הסוללים,4
מעגן,3
אביאל,5
אומץ,5
גבעת שמואל,10
אליקים,5
גבע כרמל,5
היוגב,4
בניה,6
נווה ימין,7
עין איילה,5
עלמה,2
מגדים,4
כפר אחים,5
שפיר,5
"נתיב הל""ה",5
מעגן מיכאל,5
מגן,3
"כפר חב""ד",8
בארותיים,5
בורגתה,6
ניר ישראל,5
חצב,6
ארבל,3
האון,3
גבעת עוז,4
נחשונים,7
גיאה,5
כפר דניאל,6
עמקה,3
תפרח,3
בית זית,6
עזריה,6
בן עמי,4
רעים,3
ארז,4
להבות חביבה,5
אייל,6
חגור,7
ירחיב,7
תל קציר,3
ניר גלים,6
שדה אילן,3
מגשימים,8
בית הגדי,4
הודייה,5
תלמי יחיאל,5
משמר השבעה,8
אליפלט,3
מישר,6
משמר הירדן,3
גן יאשיה,5
רמות מאיר,7
גילת,3
עולש,5
דור,5
שדה עוזיהו,6
אשתאול,5
שואבה,5
מסילת ציון,5
כפר שמואל,6
תלמי יפה,4
גמזו,6
ברכיה,5
בית שקמה,5
מסלול,3
פטיש,3
פדויים,3
בית מאיר,5
תעוז,5
ינוב,6
גורן,3
בית עזרא,5
מצליח,7
יד חנה,5
יציץ,6
בן זכאי,6
שובה,3
בטחה,3
שתולים,6
כפר מרדכי,6
משגב דב,6
קוממיות,5
פורת,6
כרמייה,4
ניר עציון,4
מבוא ביתר,5
אמונים,5
עמיקם,5
צוריאל,3
יד נתן,5
מחסיה,5
נחשון,5
תרום,5
עמינדב,5
אורה,5
אבן ספיר,5
בית נחמיה,7
אחיהוד,4
כפר זיתים,3
גבעת יערים,5
זיתן,7
רנן,3
משען,5
נתיב השיירה,3
גבעתי,5
עגור,4
יערה,3
צלפון,6
אחיעזר,7
יגל,7
זכריה,5
בית חנניה,5
חמד,8
"גבעת כ""ח",7
יושיביה,4
אחיסמך,7
ישעי,5
עין יהב,2
חניאל,6
ניר אליהו,7
נחם,5
עופר,4
יכיני,4
שלומי,3
עין יעקב,3
תלמים,4
זבדיאל,5
זנוח,5
עזריקם,5
זרחיה,5
אביגדור,5
חלץ,4
אחוזם,4
מטע,5
בר גיורא,5
כוכב מיכאל,5
נס הרים,5
עוזה,5
נווה מבטח,5
ישרש,7
מבטחים,3
ירוחם,3
גנות,8
עזריאל,5
פדיה,6
פתחיה,6
כיסופים,3
אלישמע,7
געש,7
מרגליות,2
נחל עוז,3
כפר עזה,4
שפר,3
בית רבן,6
דבירה,3
אחיטוב,5
ניצני עוז,6
גונן,2
גאליה,7
רחוב,3
שעלבים,6
כפר אביב,6
נווה ירק,7
כסלון,5
שדה אליעזר,2
גני יוחנן,6
גינתון,7
בקוע,6
שיבולים,4
יטבתה,1
אלוני יצחק,5
גבעת השלושה,8
עינת,7
גאולי תימן,6
שלווה,4
מגדל העמק,5
כפר עבודה,6
בית חירות,5
עין שריד,6
אורנים,5
שדה בוקר,2
איתנים,5
"כפר הרי""ף",5
כפר חסידים ב',5
כפר הנוער הדתי,5
עבדון,3
מדרשת רופין,6
שבלי - אום אל-גנם,4
ישע,3
עצמון שגב,4
גבעת ישעיהו,5
שער מנשה,5
רכסים,5
סואעד (חמרייה)*,5
בסמת טבעון,4
טובא-זנגרייה,3
זרזיר,4
כעביה-טבאש-חג'אג'רה,4
ראס עלי,4
חמאם,3
מנשית זבדה,5
רומת הייב,4
ביר אל-מכסור,4
מבשרת ציון,6
אור עקיבא,5
חרוצים,7
שדרות,4
קריית מלאכי,5
גיזו,5
יעף,6
שתולה,3
אוהד,3
חזון,3
בית חשמונאי,6
תלמי אליהו,3
קטורה,1
תל שבע,3
"עין כרם-בי""ס חקלאי",6
נווה זוהר,2
שדה ניצן,3
כסיפה,3
לקיה,3
נצרת עילית,5
מעלות-תרשיחא,3
אמירים,3
זמרת,3
"בני עי""ש",6
"דוב""ב",2
אדמית,3
רם-און,4
אביעזר,5
נווה מיכאל,5
גן הדרום,6
בית ברל,7
גבעת שפירא,6
צפרירים,4
מבועים,3
אבן מנחם,3
מעגלים,4
תושייה,3
בן שמן (כפר נוער),7
כרם שלום,3
כרם יבנה (ישיבה),6
כפר מימון,3
מרכז שפירא,5
צוקי ים,6
גני הדר,7
פורייה - כפר עבודה,3
פורייה - נווה עובד,3
אומן,4
חבר,4
יודפת,4
צור הדסה,5
שריגים (לי-און),5
אביבים,2
אדרת,5
נאות הכיכר,2
אלמגור,3
אילות,1
מעלה גלבוע,3
מי עמי,5
גרופית,1
כפר רוזנואלד (זרעית),3
שניר,2
ורדון,5
יד השמונה,5
צוחר,3
קריית יערים,6
יעד,4
כרמיאל,4
מדרשת בן גוריון,2
מבוא מודיעים,6
נס עמים,3
ידידה,6
אלומה,5
עלומים,3
נטועה,3
צור נתן,6
עזר,5
צופר,1
פארן,1
אשלים,2
כישור,3
מלכישוע,3
מגן שאול,3
סמר,1
אחווה,5
יהל,1
שכניה,4
רהט,4
בית רימון,3
מורן,3
שילת,6
כפר רות,6
קיסריה,5
לוטם,3
תובל,3
לפידות,3
מנוף,3
עידן,2
ספיר,2
טללים,3
מורשת,4
קורנית,4
צביה,3
טל-אל,4
אלון הגליל,4
כליל,3
מתת,3
פלך,3
הושעיה,4
אשחר,3
מצפה נטופה,3
בר יוחאי,3
ערערה-בנגב,3
ניצנה (קהילת חינוך),2
נאות סמדר,1
כרמים,3
עדי,5
מודיעין-מכבים-רעות*,7
כמון,3
מכמנים,3
הררית,3
גילון,3
מנות,3
גיתה,3
לבון,3
הילה,3
חרשים,3
כחל,3
קדרים,3
עמוקה,3
צבעון,3
טפחות,3
גורנות הגליל,3
אבירים,3
צורית,3
"מצפה אבי""ב",4
שדי אברהם,3
כוכב יאיר,6
רביד,3
יובלים,4
יתד,3
רקפת,4
כלנית,3
לבנים,3
פרי גן,3
יבול,3
שקף,4
שורשים,3
נירית,6
תלמי יוסף,3
סופה,3
חולית,3
עין הבשור,3
דקל,3
נתיב העשרה,4
תמרת,4
סלמה,3
עראמשה*,3
חריש,5
אליפז,1
הרדוף,4
עין תמר,2
כורזים,3
אמנון,3
נטף,5
לוטן,1
אשרת,3
חנתון,4
מסד,3
נווה שלום,5
רתמים,2
הר עמשא,3
צוקים,1
כפר ורדים,3
כרמי יוסף,6
שומרייה,3
שחרות,1
מיתר,3
להבים,4
חלוץ,3
גן נר,4
אבטליון,3
אשבל,4
באר מילכה,2
נווה חריף,1
ניצני סיני,2
מירב,3
תל תאומים,3
נופית,4
כרכום,3
שגב-שלום,3
גבעת אלה,4
זמר,5
כמהין,2
ג'דיידה-מכר,4
גבעת אבני,3
אור הגנוז,3
יאנוח-ג'ת,3
כסרא-סמיע,3
כפר חנניה,3
חורה,3
שוהם,7
אלעד,7
לפיד,6
אבשלום,3
פורייה עילית,3
נווה זיו,3
מתן,7
אל -עריאן,5
דמיידה,4
מבואות ים,5
בת חפר,5
עין חוד,4
ח'ואלד,5
הודיות,3
בת הדר,5
ארסוף,7
כפר זוהרים,4
"בסמ""ה",5
מעלה עירון,5
אחוזת ברק,4
כמאנה,3
חוסנייה,3
נוף איילון,6
ראס אל-עין,3
ערב אל נעים,3
שמשית,4
אל -עזי,5
מרחב עם,2
אבו קורינאת (יישוב),3
מכחול,3
גבעות בר,3
צור יצחק,6
תרבין א-צאנע (יישוב)*,3
קצר א-סר,3
ביר הדאג',2
דריג'את,3
אום בטין,3
אל סייד,3
מולדה*,3
בת חן,6
כחלה,3
ניצן ב',5
תנובות,6
תלמי אלעזר,5
כנות,5
שדה יצחק,5
יובל,2
כפר בן נון,6
ינון,5
אורות,5
בן שמן (מושב),7
גבעולים,4
שדי חמד,7
רוויה,3
גבעת חיים (איחוד),5
אשל הנשיא,3
להב,3
אום אל-קוטוף,5
ירדנה,3
מדרך עוז,4
מנוחה,5
בית חלקיה,6
חצור הגלילית,3
עדנים,8
ברקת,7
קריית יערים (מוסד),6
עין גדי,2
בחן,5
מלילות,3
נחלה,5
סגולה,5
ניר משה,3
ניר עקיבא,3
שדה צבי,4
"תלמי ביל""ו",3
רווחה,5
אביטל,4
פרזון,4
מיטב,4
מאור,5
שדי תרומות,3
"פעמי תש""ז",3
ברוש,3
תדהר,3
תאשור,3
דישון,2
זרועה,3
טירת כרמל,5
דימונה,3
קריית טבעון,5
אור יהודה,8
נשר,5
באר יעקב,8
גדרה,6
ערד,3
אילת,1
בית שמש,5
קריית אונו,9
קריית גת,5
ראש העין,7
רמת השרון,8
יבנה,7
אום אל-פחם,5
טירה,7
טייבה,6
קריית שמונה,2
ירושלים,9
כפר עציון,4
נתיב הגדוד,3
אלמוג,4
קדומים,5
תומר,3
אלקנה,6
מגדל עוז,4
תקוע,4
כוכב השחר,4
רימונים,4
יפית,3
סלעית,5
ריחן,4
מבוא דותן,4
אריאל,5
שבי שומרון,4
כפר תפוח,5
חלמיש,5
בית אל,4
בית חורון,5
מצפה יריחו,4
שדמות מחולה,3
אלון מורה,3
ארגמן,3
מחולה,3
קליה,3
ראש צורים,4
הר גילה,5
אלון שבות,5
משואה,3
גלגל,3
"ייט""ב",3
מעלה אפרים,4
חמרה,3
מצפה שלם,3
קריית ארבע,3
בקעות,3
גיתית,4
מכורה,3
פצאל,3
מעלה אדומים,5
עפרה,4
אלעזר,5
רועי,3
נירן,3
מעלה שומרון,5
כפר אדומים,4
ורד יריחו,3
קרני שומרון,5
שילה,4
חיננית,4
גבעון החדשה,5
בית הערבה,3
חמדת,3
יקיר,5
מתתיהו,6
שקד,4
אפרת,5
מעלה מכמש,4
בית אריה,6
מעלה עמוס,4
ברקן,5
"ניל""י",5
כרמל,3
מעון,3
עטרת,5
פסגות,4
עמנואל,5
מבוא חורון,5
ברכה,4
ענב,5
"נעמ""ה",3
עלמון,5
חרמש,4
תלם,3
שערי תקווה,6
אשכולות,3
פני חבר,3
נגוהות,3
נווה דניאל,5
נוקדים,4
עלי זהב,5
גבעת זאב,5
טנא,3
מצדות יהודה,3
קריית נטפים,5
דולב,5
עתניאל,3
יצהר,4
אלפי מנשה,6
מגדלים,4
מעלה לבונה,4
אספר,3
סוסיה,3
אדורה,3
אורנית,6
איתמר,4
גבע בנימין,5
חגי,3
עלי,4
כרמי צור,4
נחליאל,5
פדואל,5
הר אדר,5
חשמונאים,6
עץ אפרים,5
כוכב יעקב,5
ביתר עילית,5
קדר,5
רותם,3
שמעה,3
משכיות,3
אבנת,3
נעלה,5
טלמון,5
נופים,5
צופים,6
אבני חפץ,5
בת עין,4
רבבה,5
כפר האורנים,6
מודיעין עילית,6
חיפה,6
בוקעאתא,2
אלי-עד,2
אל -רום,2
כפר חרוב,2
חספין,2
קשת,2
יונתן,2
מעלה גמלא,2
שעל,2
אודם,2
אבני איתן,2
אניעם,2
אורטל,2
נטור,2
בני יהודה,2
אלוני הבשן,2
מיצר,2
גבעת יואב,2
גשור,2
קלע,2
קדמת צבי,2
חד-נס,2
כנף,2
קצרין,2
מרום גולן,2
מג'דל שמס,2
מסעדה,2
מבוא חמה,3
אפיק,2
"נווה אטי""ב",2
נוב,2
ע'ג'ר,2
עין קנייא,2
עין זיוון,2
נאות גולן,2
רמת מגשימים,2
רמות,2
תל אביב -יפו,10
באקה אל-גרביה,5
בני ברק,10
בת ים,9
גבעתיים,10
הרצלייה,8
חדרה,6
חולון,9
טבריה,3
קריית אתא,5
כפר סבא,8
לוד,7
אשקלון,5
נס ציונה,8
נצרת,5
נתניה,7
סח'נין,4
עכו,4
עפולה,5
פרדס חנה-כרכור,5
פתח תקווה,9
צפת,3
קריית מוצקין,5
ראשון לציון,9
רחובות,8
רמלה,8
רמת גן,10
רעננה,8
שפרעם,5
טמרה,4
באר שבע,5
נהרייה,4
בית שאן,3
זכרון יעקב,5
יהוד,8
קריית ביאליק,5
קריית ים,5
הוד השרון,8
בנימינה-גבעת עדה*,5
,
